id,id_paper,reference
131,7,"H. Edelsbrunner, D. Letscher and A. Zomorodian, ""Topological persistence and simplification"", Discrete & Computational Geometry, vol. 28, no. 4, pp. 511-533, 2002."
132,7,"C. Chen and M. Kerber, ""Persistent homology computation with a twist"", 27th European Workshop on Compo Geometry (EuroCG 2011), 2011."
133,7,"R. Forman, ""Morse theory for cell complexes"", Advances in Mathematics, vol. 134, pp. 90-145, 1998."
134,7,"R. Forman, ""A user's guide to discrete Morse theory"", Seminaire Lotharingien de Combinatoire, vol. 48c, pp. 1-35, 2002."
135,7,"V. Robins, P. J. Wood and A. P. Sheppard, ""Discrete Morse theory for grayscale digital images"", IEEE Transactions on Pattern Analysis and Machine Learning, pp. 1-14, 2010."
136,7,"P. Bendich, H. Edelsbrunner and M. Kerber, ""Computing robustness and persistence for images"", Proceedings of IEEE Visualization, vol. 16, no. 6, pp. 1251-1260, 2010."
137,7,"M. Mrozek and T. Wanner, ""Coreduction homology algorithm for inclusions and persistent homology"", Computers and Mathematics with Applications accepted, 2010."
138,7,"D. Morozov, ""Persistence algorithm takes cubic time in the worst case"", BioGeometry News, 2005."
139,7,"N. Milosavljevic, D. Morozov and P. Skraba, ""Zigzag Persistent Homology in Matrix Multiplication Time"", Proceedings of the 27th annual symposium on Computational geometry, 2011."
140,7,"C. Chen and M. Kerber, ""An Output-Sensitive Algorithm for Persistent Homology"", Proceedings of the 27th annual symposium on Computational geometry, 2011."
141,7,"H. Wagner, C. Chen and E. Vucini, ""Efficient computation of persistent homology for cubical data"", Proc. TopoInVis, April 2011."
142,7,"J. Milnor, Topology from the differentiable viewpoint, Univ. Press Virginia, 1965."
143,7,"T. Lewiner, ""Geometric discrete Morse complexes"", Aug 2005."
144,7,"T. Lewiner, H. Lopes and G. Tavares, ""Optimal discrete Morse functions for 2-manifolds"", Computational Geometry: Theory and Applications, vol. 26, no. 3, pp. 221-233, November 2003."
145,7,"U. Bauer, C. Lange and M. Wardetzky, ""Optimal topological simplification of discrete functions on surfaces"", CoRR, 2010."
146,7,"J. Reininghaus, D. Günther, I. Hotz, S. Prohaska and H.-C. Hege, ""TADD: A computational framework for data analysis using discrete Morse theory"" in Mathematical Software – ICMS, Springer, pp. 198-208, 2010."
147,7,"D. Günther, J. Reininghaus, S. Prohaska, T. Weinkauf and H.-C. Hege, ""Efficient computation of a hierarchy of discrete 3d gradient vector fields"", Proc. TopoInVis, April 2011."
148,7,"A. Gyulassy, P.-T. Bremer, B. Hamann and V. Pascucci, ""A practical approach to Morse-Smale complex computation: scalability and generality"", IEEE Transactions on Visualization and Computer Graphics, vol. 14, pp. 1619-1626, 2008."
149,7,"T. Kaczynski, K. Mischaikow and M. Mrozek, Computational Homology ser. Applied Math. Sciences, Springer-Verlag, vol. 157, 2004."
150,7,"A. Hatcher, Algebraic Topology, Cambridge, U.K.:Cambridge University Press, 2002."
151,7,"D. Cohen-Steiner, H. Edelsbrunner and J. Harer, ""Stability of persistence diagrams"", Disc. and Comp. Geometry, vol. 37, pp. 103-120, 2007."
152,7,"M. K. Chari, ""On discrete Morse functions and combinatorial decompositions"", Discrete Math., vol. 217, no. 1–3, pp. 101-113, 2000."
153,7,"S. Röttger, [online] Available: http://www9.informatik.uni-erlangen.de/External/vollib/."
154,7,[online] Available: http://www.cg.tuwien.ac.at/research/vis/datasets/#Data.
155,7,"""Volvis: Voxel data repository"", 2010, [online] Available: http://www.volvis.org/."
156,8,"C. J. Costa, ""Example of a complete minimal immersion in IR3 of genus one and three-embedded ends"", Bulletin of the Brazilian Mathematical Society, vol. 15, no. 1–2, pp. 47-54, Mar. 1984."
157,8,"D. A. Bowman, E. Kruijff, J. J. LaViola and I. Poupyrev, 3D User Interfaces: Theory and Practice, Redwood City, CA, USA:Addison Wesley Longman Publishing Co., Inc., 2004."
158,8,"A. Calomeni and W. Celes, ""Assisted and automatic navigation in black oil reservoir models based on probabilistic roadmaps"", Proceedings of the 2006 symposium on Interactive 3D graphics and games - SI3D 06 ser, pp. 175-182, 2006."
159,8,"J. Carsten, D. Ferguson and A. Stentz, ""3D Field D: Improved Path Planning and Replanning in Three Dimensions"", Proceedings of the 2006 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 06), pp. 3381-3386, 2006."
160,8,"K. Belghith, F. Kabanza, L. Hartman and R. Nkambou, ""Anytime Dynamic Path-planning with Flexible Probabilistic Roadmaps"", ICRA 06, pp. 2372-2377, 2006."
161,8,"M. Kallmann, ""Path Planning in Triangulations"", Proceedings of the IJCAI Workshop on Reasoning Representation and Learning in Computer Games, 2005."
162,8,"M. Kallmann, ""Shortest paths with arbitrary clearance from navigation meshes"", Proceedings of the 2010 ACM SIGGRAPH/Eurographics Symposium on Computer Animation, pp. 159-168, 2010."
163,8,"J. Rosell and P. Iniguez, ""Path planning using Harmonic Functions and Probabilistic Cell Decomposition"", Proceedings of the 2005 IEEE International Conference on Robotics and Automation. IEEE, pp. 1803-1808, 2005."
164,8,"M. Trevisan, M. A. P. Idiart, E. Prestes and P. M. Engel, ""Exploratory Navigation Based on Dynamical Boundary Value Problems"", lournal of Intelligent and Robotic Systems, vol. 45, no. 2, pp. 101-114, May 2006."
165,8,"A. Treuille, S. Cooper and Z. Popović, ""Continuum crowds"", ACM SIGGRAPH 2006 Papers, vol. 25, no. 3, pp. 1160-1168, Jul. 2006."
166,8,"M. J. Park, ""Guiding flows for controlling crowds"", The Visual Computer, vol. 26, no. 11, pp. 1383-1391, Jan. 2010."
167,8,"R. P. Torchelsen, L. F. Scheidegger, G. N. Oliveira, R. Bastos and J. a. L.D. Comba, ""Real-time multi-agent path planning on arbitrary surfaces"", 13D 10: Proceedings of the 2010 ACM SIGGRAPH symposium on Interactive 3D Graphics and Games, pp. 47-54, 2010."
168,8,"E. W. Dijkstra, ""A note on two problems in connexion with graphs"", Numerische Mathematik, vol. 1, no. 1, pp. 269-271, Dec. 1959."
169,8,"L. E. Kavraki, P. Svestka, J.-C. Latombe and M. H. Overmars, ""Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces"", IEEE Transactions on Robotics and Automation, vol. 12, no. 4, pp. 566-580, 1996."
170,8,"J. Barraquand, L. Kavraki, J.-C. Latombe, R. Motwani, T.-Y. Li and P. Raghavan, ""A Random Sampling Scheme for Path Planning"", The International Journal of Robotics Research, vol. 16, no. 6, pp. 759-774, 1997."
171,8,"S. M. Lavalle, Rapidly-Exploring Random Trees: A New Tool for Path Planning, 1998, [online] Available: http://msl.cs.uiuc.edu/-lavalle/papers/Lav98c.pdf."
172,8,"S.-J. Kang, Y. Kim and C.-H. Kim, ""Live path: adaptive agent navigation in the interactive virtual world"", The Visual Computer, vol. 26, no. 6, pp. 467-476, Apr. 2010."
